% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,	Water,	HbO2,	HHb,	FatSoybean
886,0.000439892,1302.36,856.6,856.6
887,0.000440433,1305.49,859.16,859.16
888,0.000441697,1308.05,861.77,861.77
889,0.000451986,1310.48,864.29,864.29
890,0.00046787,1313.35,866.76,866.76
891,0.000465523,1316.17,869.2,869.2
892,0.00046444,1318.56,871.59,871.59
893,0.00047148,1320.65,873.97,873.97
894,0.000469675,1323.16,876.28,876.28
895,0.000477076,1325.86,878.49,878.49
896,0.000474729,1327.94,880.49,880.49
897,0.000481408,1330.07,882.49,882.49
898,0.000494585,1331.98,884.35,884.35
899,0.000501986,1333.76,886.09,886.09
900,0.000515884,1336.15,887.78,887.78
901,0.00051787,1338.15,889.48,889.48
902,0.00052509,1339.97,890.78,890.78
903,0.000530325,1341.67,892.08,892.08
904,0.000534657,1343.14,893.39,893.39
905,0.000542058,1344.88,894.17,894.17
906,0.000549097,1346.36,894.99,894.99
907,0.000554693,1347.44,895.69,895.69
908,0.00056065,1349.27,895.99,895.99
909,0.000569495,1350.35,896.25,896.25
910,0.000577617,1351.05,896.56,896.56
911,0.000584116,1352.44,896.17,896.17
912,0.000594585,1353.87,895.47,895.47
913,0.000605054,1354.96,894.86,894.86
914,0.000617329,1355.87,893.95,893.95
915,0.000627437,1356.65,892.87,892.87
916,0.000642238,1357.47,891.78,891.78
917,0.000657401,1357.87,890.17,890.17
918,0.000673466,1358.34,888.26,888.26
919,0.000689892,1358.17,886.4,886.4
920,0.000711372,1358.65,884.18,884.18
921,0.000734116,1359.47,881.49,881.49
922,0.000756498,1359.86,878.79,878.79
923,0.000783032,1359.86,875.8,875.8
924,0.000812094,1359.86,872.37,872.37
925,0.000843682,1359.86,868.89,868.89
926,0.000876173,1360.04,865.29,865.29
927,0.000911913,1359.95,861.08,861.08
928,0.000950542,1359.56,856.86,856.86
929,0.000990975,1359.65,852.56,852.56
930,0.001036101,1359.17,847.79,847.79
931,0.001079422,1358.95,842.97,842.97
932,0.001127798,1358.65,837.97,837.97
933,0.0011787,1358.04,832.2,832.2
934,0.001231047,1357.34,826.29,826.29
935,0.001284838,1356.56,820.51,820.51
936,0.001340433,1355.35,814.09,814.09
937,0.001398736,1354.56,807.79,807.79
938,0.001459747,1354.17,801.4,801.4
939,0.001522383,1352.96,794.28,794.28
940,0.00158917,1351.65,787.2,787.2
941,0.001656679,1350.74,779.99,779.99
942,0.001734116,1349.87,772.52,772.52
943,0.001812635,1348.35,764.92,764.92
944,0.001895848,1346.44,757.32,757.32
945,0.00198574,1344.97,749.11,749.11
946,0.002077978,1344.14,740.82,740.82
947,0.002177978,1342.45,732.52,732.52
948,0.002288267,1340.67,723.93,723.93
949,0.00240704,1339.06,715.24,715.24
950,0.002529783,1337.06,706.64,706.64
951,0.002660469,1335.06,698.04,698.04
952,0.00279639,1332.85,689.44,689.44
953,0.002933394,1330.98,680.84,680.84
954,0.0030713,1328.94,671.33,671.33
955,0.003203971,1325.94,661.43,661.43
956,0.003328159,1323.64,651.53,651.53
957,0.003441516,1321.38,641.84,641.84
958,0.003545307,1319.56,632.25,632.25
959,0.003636101,1316.87,622.73,622.73
960,0.003711552,1314.04,613.14,613.14
961,0.003775812,1311.96,603.54,603.54
962,0.003825632,1309.57,593.94,593.94
963,0.003862274,1306.66,584.17,584.17
964,0.003891877,1303.88,574.35,574.35
965,0.003914621,1301.45,564.54,564.54
966,0.003933213,1299.15,554.85,554.85
967,0.003945307,1296.28,545.17,545.17
968,0.003955415,1292.46,535.57,535.57
969,0.003961733,1289.68,525.93,525.93
970,0.003965523,1286.47,516.46,516.46
971,0.003967509,1283.47,506.95,506.95
972,0.003969675,1280.39,497.44,497.44
973,0.003966787,1276.96,487.84,487.84
974,0.003963718,1273.18,478.38,478.38
975,0.003957762,1268.88,468.95,468.95
976,0.00394639,1265.27,459.57,459.57
977,0.003934296,1262.06,450.28,450.28
978,0.003919495,1258.67,441.16,441.16
979,0.003900542,1254.59,432.19,432.19
980,0.003879242,1250.99,423.19,423.19
981,0.003855776,1246.69,414.49,414.49
982,0.0038287,1242.69,406,406
983,0.003801264,1239,397.4,397.4
984,0.003771119,1234.79,389.1,389.1
985,0.003738267,1230.18,380.9,380.9
986,0.003704693,1225.71,372.81,372.81
987,0.003668231,1221.58,364.71,364.71
988,0.003630144,1216.98,356.61,356.61
989,0.003591155,1212.98,348.61,348.61
990,0.003551444,1208.38,340.81,340.81
991,0.003511011,1203.99,333.32,333.32
992,0.003468773,1198.91,325.82,325.82
993,0.003426895,1193.61,318.62,318.62
994,0.003381227,1189.01,311.62,311.62
995,0.003337184,1184.49,304.62,304.62
996,0.00329278,1178.59,297.73,297.73
997,0.00324639,1172.99,290.83,290.83
998,0.003201264,1169.12,284.03,284.03
999,0.003155957,1163.39,277.53,277.53
1000,0.003109567,1157.31,271.33,271.33
